"","players","player.cash","player.comfort","bankrupt.players","turn","total.value.fifteen","owned.blue","times.in.jail","properties.sold","color.sets","props.at.five","stale.mate"
"4465",1,-84,0.53,1,8,0,0,0,5,2,0,0
"4466",2,3788,0.4,0,55,3550,1,1,9,3,4,0
"4467",3,-1,0.48,5,65,1288,0,0,14,2,3,0
"4468",4,-426,0.59,2,11,0,0,0,3,0,0,0
"4469",5,-388,0.41,4,55,3347,1,2,17,3,0,0
"4470",6,-827,0.51,3,36,0,0,1,10,1,4,0
"4471",1,6487,0.7,0,48,2607,1,2,4,2,3,0
"4472",2,-992,0.14,5,44,2069,0,1,12,1,2,0
"4473",3,-2,0.59,2,16,1488,0,0,4,0,3,0
"4474",4,-240,0.72,3,26,3489,1,3,6,0,0,0
"4475",5,-1736,0.88,1,10,0,1,0,9,2,0,0
"4476",6,-21,0.02,4,41,1640,0,0,0,0,0,0
"4477",1,42,0.04,1,23,1552,0,3,0,0,0,0
"4478",2,-29,0.25,5,104,0,0,4,23,3,2,0
"4479",3,-278,0.23,4,59,1135,0,0,17,3,3,0
"4480",4,-346,0.24,3,34,0,1,0,11,1,1,0
"4481",5,6872,0.68,0,102,0,1,4,7,4,1,0
"4482",6,-40,0.82,2,21,268,0,0,10,2,4,0
"4483",1,12060,0.45,5,499,1521,1,22,9,5,0,1
"4484",2,245,0.44,4,45,1759,1,3,10,1,2,1
"4485",3,86,0.72,1,7,0,0,0,6,0,0,1
"4486",4,269,0.76,3,45,0,1,1,11,3,2,1
"4487",5,12623,0.22,0,501,0,1,24,6,3,2,1
"4488",6,138,0.73,2,20,2982,0,3,11,2,3,1
"4489",1,-345,0.95,3,47,1588,0,2,8,2,1,0
"4490",2,-219,0.53,4,61,0,0,4,20,1,1,0
"4491",3,-1154,0.62,2,31,1734,1,1,14,1,0,0
"4492",4,-547,0.3,5,75,1002,1,5,8,1,0,0
"4493",5,-7,0.58,1,5,0,0,0,6,0,6,0
"4494",6,3321,0.09,0,75,1437,0,5,3,2,0,0
"4495",1,25847,0.17,0,495,0,0,11,3,3,3,1
"4496",2,-3687,0.95,2,34,1203,1,0,14,3,5,1
"4497",3,-779,0.59,3,351,2904,0,18,14,3,4,1
"4498",4,5806,0.44,4,501,2997,1,16,8,4,0,1
"4499",5,-3324,0.81,1,27,602,0,6,6,1,3,1
"4500",6,23478,0.53,5,481,0,0,11,4,1,4,1
"4501",1,14948,0.41,5,501,2951,1,17,8,2,3,1
"4502",2,150,0.23,2,32,490,1,0,8,1,4,1
"4503",3,-159,0.08,3,48,1096,0,2,1,0,0,1
"4504",4,13890,0.74,4,495,2976,0,15,6,2,2,1
"4505",5,-417,0.29,1,17,518,0,0,8,1,4,1
"4506",6,22375,0.34,0,499,2559,1,15,4,4,0,1
"4507",1,-399,0.24,4,262,3283,0,11,16,3,2,1
"4508",2,11273,0.49,5,492,3765,1,16,9,2,2,1
"4509",3,-248,0.17,3,41,696,0,1,7,2,2,1
"4510",4,-277,0.96,1,9,0,0,0,4,0,4,1
"4511",5,-315,0.41,2,27,0,0,0,5,1,2,1
"4512",6,32017,0.79,0,502,2013,0,13,5,6,2,1
"4513",1,-451,0.1,3,32,1769,0,2,6,1,3,0
"4514",2,-69,0.58,5,50,3014,1,4,23,2,0,0
"4515",3,-27,0.03,4,39,0,0,4,0,0,0,0
"4516",4,3543,0.47,0,47,2916,0,4,8,2,1,0
"4517",5,-875,0.49,1,17,401,0,1,7,1,2,0
"4518",6,-21,0.91,2,26,0,0,1,7,1,4,0
"4519",1,-164,0.18,3,15,660,0,0,11,2,0,0
"4520",2,-106,0.55,2,9,0,0,1,8,0,3,0
"4521",3,-174,0.77,1,7,0,0,0,7,1,0,0
"4522",4,4307,0.4,0,131,2482,1,6,8,7,1,0
"4523",5,-78,0.68,4,55,0,0,3,21,3,2,0
"4524",6,-672,0.84,5,140,2705,0,17,16,2,0,0
"4525",1,11320,0.18,0,127,0,1,1,5,6,0,0
"4526",2,-16,0.54,5,126,2738,1,4,13,2,2,0
"4527",3,-48,0.79,2,24,0,0,1,5,1,4,0
"4528",4,58,0.35,1,9,0,0,3,4,0,4,0
"4529",5,132,0.1,3,36,1294,0,1,2,0,2,0
"4530",6,-59,0.28,4,75,1002,0,4,6,1,1,0
"4531",1,33835,0.51,0,501,4226,0,16,7,2,4,1
"4532",2,-314,0.2,2,141,1020,0,11,4,1,1,1
"4533",3,-39,0.56,1,14,-29,0,0,4,0,4,1
"4534",4,5695,0.22,4,487,1014,0,16,6,2,2,1
"4535",5,14330,0.71,5,493,2161,1,19,8,4,2,1
"4536",6,-276,0.05,3,183,1838,0,3,0,0,0,1
"4537",1,-573,0.36,4,57,0,0,3,12,2,2,0
"4538",2,-624,0.5,3,48,0,1,1,17,1,4,0
"4539",3,-123,0.97,1,12,0,0,4,6,1,6,0
"4540",4,-69,0.08,2,37,1704,0,1,3,0,0,0
"4541",5,-69,0.78,5,59,1697,0,4,10,1,1,0
"4542",6,3758,0.15,0,72,2101,1,3,7,3,0,0
"4543",1,-752,0.59,1,8,0,0,0,9,0,4,0
"4544",2,-284,0.09,5,89,1825,0,4,5,1,1,0
"4545",3,-104,0.95,2,25,0,0,2,9,1,1,0
"4546",4,-47,0.37,4,81,0,0,3,22,2,5,0
"4547",5,-57,0.77,3,52,2214,1,3,10,1,2,0
"4548",6,6600,0.33,0,101,0,1,2,5,5,2,0
"4549",1,-2034,0.08,4,38,1754,0,0,4,0,0,1
"4550",2,3642,0.81,5,483,3483,1,12,11,4,2,1
"4551",3,-2730,0.87,1,16,1800,0,1,5,0,1,1
"4552",4,27821,0.44,0,501,2603,1,12,9,4,3,1
"4553",5,-1238,0.95,3,19,22,0,2,5,1,4,1
"4554",6,-1699,0.82,2,15,251,0,0,6,1,1,1
"4555",1,24297,0.32,0,501,3088,0,20,8,4,0,1
"4556",2,10226,0.38,5,484,3010,1,24,5,4,0,1
"4557",3,-746,0.68,1,22,0,0,0,10,0,3,1
"4558",4,-630,0.03,3,64,1876,0,4,0,0,0,1
"4559",5,-158,0.46,4,135,1007,0,3,14,2,4,1
"4560",6,-794,0.41,2,23,389,0,0,9,1,4,1
"4561",1,-440,0.91,4,36,946,0,3,12,2,2,0
"4562",2,4551,0.22,0,77,4778,1,6,20,1,3,0
"4563",3,-78,0.99,1,11,0,0,0,8,0,3,0
"4564",4,-678,0.39,3,35,1218,0,4,11,1,2,0
"4565",5,-623,0.21,2,24,1157,0,1,4,1,2,0
"4566",6,-1414,0.34,5,78,0,0,3,23,2,2,0
"4567",1,-5,0.63,5,128,0,0,7,23,4,0,0
"4568",2,11287,0.39,0,136,2299,1,1,10,3,3,0
"4569",3,58,0.34,2,46,0,0,0,13,2,4,0
"4570",4,-382,0.8,1,11,0,0,2,8,1,2,0
"4571",5,36,0.68,4,83,2736,1,7,16,1,0,0
"4572",6,144,0.31,3,69,1029,0,1,11,2,2,0
"4573",1,4335,0.41,0,46,4805,0,0,8,2,2,0
"4574",2,-152,0.55,2,19,1373,1,0,8,1,2,0
"4575",3,-488,0.43,5,47,0,1,1,16,2,1,0
"4576",4,-556,0.22,1,11,0,0,0,10,0,4,0
"4577",5,-64,0.68,4,30,1003,0,0,3,0,0,0
"4578",6,-111,0.32,3,27,1136,0,0,6,1,4,0
"4579",1,-156,0.14,1,24,0,0,0,4,0,0,0
"4580",2,-267,0.83,5,68,2164,1,5,15,1,0,0
"4581",3,-308,0.69,4,64,2146,0,1,18,2,2,0
"4582",4,-242,0.18,2,25,0,0,0,4,0,0,0
"4583",5,-133,0.84,3,34,1597,0,2,12,2,3,0
"4584",6,8026,0.21,0,72,2609,1,5,8,3,3,0
"4585",1,-114,0.48,4,35,2129,1,0,9,1,3,0
"4586",2,4818,0.2,0,31,2663,0,3,2,1,3,0
"4587",3,-434,0.95,3,26,1448,0,1,3,0,0,0
"4588",4,-185,0.31,5,36,2609,0,1,13,2,0,0
"4589",5,-117,0.98,2,10,0,0,0,8,1,3,0
"4590",6,-91,0.43,1,7,0,0,0,6,0,0,0
"4591",1,-1104,0.3,1,10,0,1,1,9,2,3,0
"4592",2,-437,0.26,4,42,1472,0,3,4,0,0,0
"4593",3,-364,0.41,2,9,0,0,1,10,0,5,0
"4594",4,-294,0.67,3,10,0,0,0,2,0,0,0
"4595",5,620,0.33,0,53,4723,1,1,9,3,2,0
"4596",6,-659,0.39,5,52,2823,0,3,14,2,2,0
"4597",1,146,0.84,1,26,0,0,2,5,1,0,1
"4598",2,179,0.56,2,44,1655,1,4,8,2,1,1
"4599",3,135,0.9,3,181,2166,1,8,9,1,2,1
"4600",4,9695,0.6,5,493,0,0,14,8,3,0,1
"4601",5,36553,0.19,0,501,0,1,16,3,4,5,1
"4602",6,8346,0.42,4,492,2240,1,19,5,1,3,1
"4603",1,3985,0.6,5,485,3805,0,21,13,3,2,1
"4604",2,-1270,0.55,2,72,0,0,5,5,2,3,1
"4605",3,-1177,0.4,3,86,1131,0,3,7,1,0,1
"4606",4,-1329,0.94,4,99,1146,0,2,13,3,4,1
"4607",5,28711,0.77,0,502,2839,1,12,5,5,2,1
"4608",6,-1414,1,1,8,0,0,0,4,0,2,1
"4609",1,-240,0.22,4,46,1653,0,2,10,2,0,0
"4610",2,-90,0.43,5,57,0,1,0,17,3,1,0
"4611",3,-1,0.69,3,40,1973,0,4,10,1,4,0
"4612",4,6641,0.85,0,66,1700,1,3,8,3,5,0
"4613",5,-357,0.28,1,14,-207,0,0,4,0,2,0
"4614",6,-287,0.18,2,15,93,0,0,4,1,2,0
"4615",1,12840,0.86,5,499,1065,1,17,14,5,2,1
"4616",2,-1170,0.99,1,27,1057,0,2,12,2,2,1
"4617",3,21511,0.48,0,501,0,1,10,7,5,1,1
"4618",4,-1184,0.04,2,36,1339,0,3,0,0,0,1
"4619",5,-938,0.09,3,67,2206,0,1,1,0,0,1
"4620",6,-865,0.14,4,89,0,0,3,5,1,0,1
"4621",1,3633,0.23,0,61,0,1,2,6,3,3,0
"4622",2,-147,0.07,4,40,1824,0,0,0,0,0,0
"4623",3,-2,0.88,1,5,0,0,0,5,0,5,0
"4624",4,-32,0.03,3,22,1618,0,1,0,0,0,0
"4625",5,-3,0.57,2,20,2090,1,0,9,1,2,0
"4626",6,-41,0.08,5,55,1782,0,3,9,1,2,0
