"","Var1","Freq","winning.prop","prop.order$money.made","prop.order$group"
"920",9,5,FALSE,8,2
"1124",11,5,FALSE,685,3
"1221",12,5,TRUE,270,0
"1320",13,3,FALSE,0,3
"1420",14,3,FALSE,180,3
"1520",15,6,TRUE,125,9
"1620",16,4,TRUE,1020,4
"1820",18,4,TRUE,2850,4
"1920",19,4,TRUE,1016,4
"2120",21,8,FALSE,54,5
"2320",23,6,FALSE,36,5
"2420",24,11,TRUE,80,5
"2520",25,3,FALSE,0,9
"2620",26,3,FALSE,822,6
"2720",27,2,FALSE,0,6
"2821",28,6,TRUE,240,0
"2920",29,9,FALSE,3318,6
"3123",31,6,FALSE,26,7
"3221",32,3,TRUE,0,7
"3420",34,2,FALSE,84,7
"3520",35,2,FALSE,0,9
"3720",37,2,FALSE,70,8
"3919",39,5,FALSE,0,8
"178",1,9,TRUE,612,1
"350",3,17,TRUE,3386,1
"521",5,24,TRUE,2700,9
"621",6,16,TRUE,2190,2
"821",8,11,FALSE,1158,2
"921",9,11,FALSE,1532,2
"1125",11,16,TRUE,6405,3
"1222",12,15,TRUE,550,0
"1321",13,6,FALSE,2550,3
"1421",14,15,FALSE,8672,3
"1521",15,19,TRUE,2100,9
"1621",16,9,FALSE,126,4
"1821",18,13,FALSE,168,4
"1921",19,17,FALSE,224,4
"2121",21,11,TRUE,7090,5
"2321",23,13,TRUE,5690,5
"2421",24,16,TRUE,7110,5
"2521",25,11,TRUE,600,9
"2621",26,10,TRUE,682,6
"2721",27,23,TRUE,616,6
"2822",28,12,TRUE,344,0
"2921",29,15,TRUE,408,6
"3124",31,17,TRUE,234,7
"3222",32,8,TRUE,364,7
"3421",34,12,TRUE,644,7
"3521",35,4,TRUE,1275,9
"3721",37,15,FALSE,280,8
"3920",39,10,TRUE,1050,8
"179",1,21,TRUE,92,1
"360",3,30,TRUE,208,1
"522",5,51,TRUE,7250,9
"622",6,30,FALSE,582,2
"822",8,29,FALSE,336,2
"922",9,24,FALSE,304,2
"1126",11,88,FALSE,1230,3
"1223",12,33,FALSE,2282,0
"1322",13,30,FALSE,560,3
"1422",14,31,FALSE,1068,3
"1522",15,48,TRUE,7000,9
"1622",16,37,FALSE,2030,4
"1822",18,38,FALSE,938,4
"1922",19,42,FALSE,1232,4
"2122",21,42,FALSE,10250,5
"2322",23,29,FALSE,7000,5
"2422",24,37,FALSE,7960,5
"2522",25,49,TRUE,7700,9
"2622",26,37,TRUE,3278,6
"2722",27,34,TRUE,1342,6
"2823",28,44,FALSE,2910,0
"2922",29,28,TRUE,1152,6
"3125",31,33,TRUE,2340,7
"3223",32,35,TRUE,1586,7
"3422",34,26,TRUE,2016,7
"3522",35,4,TRUE,5000,9
"3722",37,31,FALSE,3955,8
"3921",39,29,FALSE,3100,8
"180",1,40,TRUE,152,1
"361",3,24,TRUE,168,1
"523",5,49,TRUE,7950,9
"623",6,33,FALSE,2880,2
"823",8,33,FALSE,2712,2
"923",9,26,FALSE,968,2
"1127",11,134,FALSE,12590,3
"1224",12,33,FALSE,2076,0
"1323",13,46,FALSE,6510,3
"1423",14,46,FALSE,7932,3
"1523",15,45,TRUE,8500,9
"1623",16,47,FALSE,1050,4
"1823",18,71,FALSE,1708,4
"1923",19,47,FALSE,1344,4
"2123",21,63,FALSE,2124,5
"2323",23,49,FALSE,1566,5
"2423",24,66,FALSE,2340,5
"2523",25,60,TRUE,11225,9
"2623",26,45,FALSE,1782,6
"2723",27,37,FALSE,1496,6
"2824",28,41,FALSE,2520,0
"2923",29,44,FALSE,1920,6
"3126",31,53,TRUE,1820,7
"3224",32,36,TRUE,2470,7
"3423",34,46,TRUE,2100,7
"3523",35,7,TRUE,8550,9
"3723",37,30,FALSE,2275,8
"3922",39,40,FALSE,2400,8
"190",1,32,FALSE,124,1
"362",3,30,FALSE,224,1
"524",5,36,TRUE,6225,9
"624",6,35,TRUE,9180,2
"824",8,32,TRUE,7422,2
"924",9,36,TRUE,3400,2
"1128",11,160,TRUE,1900,3
"1225",12,63,FALSE,1720,0
"1324",13,30,TRUE,440,3
"1424",14,36,TRUE,732,3
"1524",15,40,TRUE,7450,9
"1624",16,55,FALSE,3668,4
"1824",18,52,FALSE,3570,4
"1924",19,53,FALSE,3936,4
"2124",21,50,FALSE,1584,5
"2324",23,47,FALSE,1656,5
"2424",24,52,FALSE,1840,5
"2524",25,38,TRUE,7000,9
"2624",26,41,FALSE,1518,6
"2724",27,56,FALSE,2046,6
"2825",28,68,FALSE,3370,0
"2924",29,46,FALSE,1944,6
"3127",31,36,TRUE,1950,7
"3225",32,49,TRUE,1560,7
"3424",34,31,TRUE,2184,7
"3524",35,5,TRUE,6000,9
"3724",37,45,TRUE,2940,8
"3923",39,37,TRUE,3400,8
"1100",1,28,TRUE,230,1
"363",3,27,TRUE,208,1
"525",5,30,FALSE,5200,9
"625",6,25,FALSE,318,2
"825",8,32,FALSE,318,2
"925",9,24,FALSE,344,2
"1129",11,61,TRUE,24650,3
"1226",12,29,FALSE,1576,0
"1325",13,23,TRUE,9900,3
"1425",14,25,TRUE,11512,3
"1525",15,33,FALSE,6400,9
"1625",16,36,TRUE,2212,4
"1825",18,38,TRUE,1036,4
"1925",19,31,TRUE,960,4
"2125",21,34,TRUE,2772,5
"2325",23,30,TRUE,1008,5
"2425",24,57,TRUE,1800,5
"2525",25,38,FALSE,7200,9
"2625",26,22,FALSE,748,6
"2725",27,30,FALSE,1188,6
"2826",28,26,FALSE,1570,0
"2925",29,30,FALSE,1344,6
"3128",31,40,TRUE,1638,7
"3226",32,24,TRUE,1768,7
"3425",34,29,TRUE,672,7
"3525",35,17,FALSE,5600,9
"3725",37,23,TRUE,3500,8
"3924",39,38,TRUE,2500,8
"1101",1,2,TRUE,0,1
"364",3,4,TRUE,8,1
"526",5,12,FALSE,1625,9
"626",6,8,TRUE,2400,2
"826",8,6,TRUE,1080,2
"926",9,5,TRUE,608,2
"1130",11,11,TRUE,100,3
"1227",12,4,TRUE,230,0
"1326",13,4,TRUE,60,3
"1426",14,9,TRUE,120,3
"1526",15,11,FALSE,1800,9
"1626",16,8,TRUE,154,4
"1826",18,8,TRUE,140,4
"1926",19,9,TRUE,208,4
"2126",21,9,FALSE,90,5
"2326",23,5,FALSE,54,5
"2426",24,11,FALSE,160,5
"2526",25,9,FALSE,1300,9
"2626",26,9,FALSE,132,6
"2726",27,6,FALSE,44,6
"2827",28,5,TRUE,250,0
"2926",29,11,FALSE,144,6
"3129",31,10,FALSE,312,7
"3227",32,4,FALSE,338,7
"3426",34,3,FALSE,364,7
"3526",35,3,FALSE,400,9
"3726",37,8,FALSE,210,8
"3925",39,9,FALSE,400,8
"1102",1,23,FALSE,5410,1
"365",3,28,FALSE,11704,1
"527",5,32,TRUE,6200,9
"627",6,23,FALSE,210,2
"827",8,28,FALSE,294,2
"927",9,24,FALSE,376,2
"1131",11,47,FALSE,660,3
"1228",12,25,TRUE,1746,0
"1327",13,34,FALSE,620,3
"1427",14,27,FALSE,564,3
"1527",15,26,TRUE,4600,9
"1627",16,30,TRUE,1680,4
"1827",18,25,TRUE,1246,4
"1927",19,39,TRUE,960,4
"2127",21,25,FALSE,5110,5
"2327",23,20,FALSE,1638,5
"2427",24,51,FALSE,3640,5
"2527",25,40,TRUE,7450,9
"2627",26,26,FALSE,836,6
"2727",27,30,FALSE,1034,6
"2828",28,25,TRUE,1310,0
"2927",29,34,FALSE,1344,6
"3130",31,32,TRUE,1846,7
"3228",32,39,TRUE,2496,7
"3427",34,26,TRUE,1402,7
"3527",35,11,TRUE,5000,9
"3727",37,24,TRUE,1330,8
"3926",39,27,TRUE,3050,8
"1103",1,6,FALSE,1250,1
"366",3,5,FALSE,1800,1
"528",5,8,FALSE,675,9
"628",6,7,TRUE,3300,2
"828",8,3,TRUE,556,2
"928",9,5,TRUE,1800,2
"1132",11,8,FALSE,40,3
"1229",12,4,FALSE,40,0
"1328",13,2,FALSE,10,3
"1428",14,7,TRUE,0,3
"1528",15,6,FALSE,600,9
"1628",16,9,TRUE,484,4
"1828",18,7,FALSE,308,4
"1928",19,11,FALSE,464,4
"2128",21,7,TRUE,2648,5
"2328",23,10,TRUE,4048,5
"2428",24,15,TRUE,4850,5
"2528",25,6,FALSE,600,9
"2628",26,6,FALSE,44,6
"2728",27,5,FALSE,44,6
"2829",28,3,FALSE,130,0
"2928",29,5,TRUE,0,6
"3131",31,3,TRUE,156,7
"3229",32,11,FALSE,0,7
"3428",34,7,FALSE,0,7
"3528",35,2,FALSE,600,9
"3728",37,4,TRUE,105,8
"3927",39,5,TRUE,1400,8
"1104",1,27,FALSE,92,1
"367",3,27,FALSE,192,1
"529",5,34,TRUE,4800,9
"629",6,29,FALSE,10806,2
"829",8,24,FALSE,5688,2
"929",9,27,FALSE,7800,2
