"","players","player.cash","player.comfort","bankrupt.players","turn","total.value.fifteen","owned.blue","times.in.jail","properties.sold","color.sets","props.at.five"
"305",5,2378,0.56,0,54,1260,1,2,9,3,0
"306",6,-195,0.9,4,32,0,1,2,12,0,2
"307",1,1782,0.42,0,61,1600,1,1,8,1,3
"308",2,-91,0.51,2,24,2384,0,1,13,2,3
"309",3,-924,0.46,4,53,2256,1,4,9,0,0
"310",4,-847,0.58,1,23,195,0,1,7,2,3
"311",5,-290,0.14,3,37,2070,0,0,6,1,0
"312",6,-750,0.43,5,62,1323,0,2,13,3,3
"313",1,-332,0.32,5,58,1574,0,3,16,2,2
"314",2,-569,0.05,2,38,0,0,2,2,1,0
"315",3,-31,0.03,4,53,1836,0,3,0,0,0
"316",4,-346,0.74,3,39,2654,0,0,15,1,3
"317",5,4582,0.27,0,59,1766,1,0,3,1,1
"318",6,-375,0.63,1,7,0,0,0,8,0,6
"319",1,-299,0.45,1,7,0,0,0,5,1,2
"320",2,-141,0.27,2,20,2149,0,2,4,1,3
"321",3,-487,0.99,4,30,1822,0,0,15,1,4
"322",4,-113,0.7,5,50,1153,1,1,13,1,0
"323",5,-294,0.88,3,27,0,1,1,12,2,2
"324",6,2222,0.94,0,49,2181,0,2,8,1,1
"325",1,6104,0.85,0,60,3620,0,2,10,2,0
"326",2,-81,0.06,3,48,1340,0,2,4,1,1
"327",3,-470,0.03,5,61,1598,0,3,0,0,0
"328",4,-42,0.91,4,53,1612,0,2,13,1,0
"329",5,-254,0.42,1,19,0,1,0,10,1,3
"330",6,-61,0.51,2,26,0,0,0,9,2,5
"331",1,-21,0.74,2,18,1079,0,2,5,1,2
"332",2,-527,0.65,5,86,1812,1,3,17,0,2
"333",3,-1096,0.85,1,11,0,0,0,11,3,5
"334",4,715,0.24,0,97,2508,1,0,7,6,3
"335",5,-225,0.3,3,31,0,0,0,6,1,0
"336",6,-764,0.42,4,60,2589,1,1,16,2,0
"337",1,5273,0.83,0,35,4767,1,2,7,2,4
"338",2,-1032,0.39,1,16,0,0,1,10,2,3
"339",3,-192,0.22,3,27,0,0,2,3,1,0
"340",4,-2,0.86,4,24,1837,0,2,11,0,1
"341",5,-451,0.24,2,26,2918,1,0,6,1,2
"342",6,-130,0.21,5,46,0,0,1,4,0,0
"343",1,-602,0.03,2,41,1830,0,0,0,0,0
"344",2,-759,0.1,4,44,1847,0,2,4,1,0
"345",3,4208,0.2,0,85,1656,1,6,5,4,0
"346",4,-123,0.13,1,24,0,0,3,3,1,0
"347",5,-52,0.18,5,95,1921,0,0,11,2,1
"348",6,-455,0.54,3,37,1820,0,6,6,0,1
"349",1,-139,0.03,5,72,1773,0,4,0,0,0
"350",2,-651,0.62,3,42,1094,0,8,12,1,4
"351",3,-375,0.67,1,6,0,1,0,8,1,5
"352",4,5797,0.17,0,70,4216,1,0,7,2,1
"353",5,-19,0.41,2,10,0,1,0,8,1,3
"354",6,-376,0.4,4,42,1437,0,3,10,2,0
"355",1,-576,0.8,3,19,1250,1,1,13,2,1
"356",2,-708,0.72,5,29,1454,0,0,10,1,0
"357",3,3294,0.73,0,26,3265,1,1,6,2,3
"358",4,-904,0.36,2,19,0,0,0,10,1,2
"359",5,-239,0.21,1,14,-239,1,0,3,1,1
"360",6,-1002,0.54,4,22,0,0,0,8,1,2
"361",1,-1151,0.67,1,12,0,0,0,9,0,2
"362",2,-32,0.43,2,34,0,0,3,13,4,2
"363",3,-88,0.69,5,118,1168,0,8,24,2,1
"364",4,-1417,0.21,3,36,1726,0,1,4,0,0
"365",5,-683,0.97,4,65,4804,1,2,22,2,1
"366",6,3278,0.07,0,129,0,0,4,0,3,0
"367",1,1986,0.51,0,39,1472,1,0,2,2,0
"368",2,-861,0.17,2,28,1122,0,1,5,0,2
"369",3,-461,0.91,4,35,2978,1,3,14,1,2
"370",4,-711,0.89,1,14,-711,0,1,8,0,1
"371",5,-920,0.63,3,28,2220,0,0,10,1,2
"372",6,-598,0.92,5,39,0,1,0,12,1,0
"373",1,-1063,0.67,4,31,1585,0,1,13,0,4
"374",2,-289,0.71,2,17,0,0,0,4,1,0
"375",3,-490,0.69,3,16,510,0,1,8,1,2
"376",4,-391,0.91,5,54,0,1,1,13,2,2
"377",5,1312,0.8,0,60,4444,1,2,18,3,0
"378",6,-1183,0.75,1,12,0,0,0,7,1,2
"379",1,-518,0.91,4,49,485,1,5,14,1,3
"380",2,-352,0.92,2,36,2628,1,2,14,2,2
"381",3,-699,0.33,3,42,2144,0,3,9,1,2
"382",4,3687,0.39,0,63,1769,0,0,7,3,0
"383",5,-685,0.13,5,62,0,0,0,1,0,0
"384",6,-166,0.27,1,7,0,1,0,6,1,0
"385",1,-160,0.09,3,27,1000,0,0,4,1,0
"386",2,-292,0.95,1,8,0,0,0,10,2,5
"387",3,1044,0.59,0,40,4586,0,1,8,4,0
"388",4,-138,0.53,2,13,0,0,0,8,0,5
"389",5,-866,0.34,5,41,2190,1,0,12,1,1
"390",6,-107,0.58,4,25,818,0,0,11,0,2
"391",1,-244,0.93,2,25,1529,0,0,8,1,2
"392",2,2884,0.61,0,73,3279,0,2,5,3,4
"393",3,-595,0.84,3,25,272,0,3,10,0,1
"394",4,-787,0.2,5,74,0,0,3,14,2,4
"395",5,-466,0.42,4,40,414,1,1,7,0,1
"396",6,-335,0.69,1,10,0,0,0,5,0,2
"397",1,-170,0.61,2,16,2186,0,0,14,2,2
"398",2,1267,0.2,0,50,4328,1,0,7,3,4
"399",3,-485,0.32,4,51,0,1,2,13,1,1
"400",4,-1181,0.64,3,46,206,0,1,12,2,1
"401",5,-9,0.87,1,14,-9,0,1,5,0,0
"402",6,-542,0.15,5,55,992,0,0,5,1,0
"403",1,564,0.91,0,56,3649,1,0,12,3,0
"404",2,-451,0.25,1,14,-451,0,0,6,0,2
"405",3,-587,0.24,5,41,0,0,1,7,0,0
"406",4,-316,0.38,2,21,850,0,0,7,0,4
"407",5,-1251,0.32,4,44,970,0,1,9,0,2
"408",6,-629,0.35,3,29,1065,0,1,10,2,4
"409",1,-329,0.91,1,7,0,0,0,6,0,0
"410",2,1373,0.13,0,65,2996,1,2,10,2,2
"411",3,-127,0.17,3,30,785,0,0,8,2,2
"412",4,-276,0.67,4,29,789,1,1,17,1,4
"413",5,-1108,0.94,2,12,0,0,0,11,2,3
"414",6,-1815,0.48,5,60,2264,0,3,19,2,0
"415",1,-611,0.49,2,19,362,0,1,9,2,3
"416",2,-533,0.17,4,41,2093,0,0,5,1,3
"417",3,-161,0.35,5,53,3737,1,0,19,2,1
"418",4,-20,1,3,30,2078,0,1,13,1,2
"419",5,2975,0.38,0,62,1906,1,0,9,3,3
"420",6,-88,0.26,1,11,0,0,1,7,1,0
"421",1,-157,0.21,5,32,2956,1,0,14,0,0
"422",2,-1344,0.22,4,20,1816,0,1,7,1,2
"423",3,5424,0.74,0,27,2917,0,0,4,1,2
"424",4,-148,0.71,1,12,0,0,1,6,0,4
"425",5,-618,0.01,2,16,1207,0,0,0,0,0
"426",6,-820,0.55,4,25,1182,0,9,3,1,2
"427",1,-795,0.47,4,39,1902,0,1,15,0,2
"428",2,-65,0.62,1,17,1225,1,2,6,0,0
"429",3,-27,0.06,3,42,1782,0,1,2,0,0
"430",4,5306,0.75,0,56,2413,0,4,6,3,3
"431",5,-319,0.14,5,61,2287,0,1,10,1,2
"432",6,-512,0.76,2,25,941,0,0,7,0,0
"433",1,-599,0.76,2,11,0,0,1,8,1,4
"434",2,2187,0.79,0,55,2653,1,2,7,4,0
"435",3,-772,0.32,5,55,3660,1,0,20,0,3
"436",4,-770,0.39,4,32,1519,0,0,9,2,0
"437",5,-89,0.69,1,13,0,0,0,7,2,3
"438",6,-2175,0.07,4,31,1913,0,2,4,1,0
"439",1,-785,0.67,1,13,0,0,0,8,1,3
"440",2,-356,0.46,5,62,5606,1,0,25,3,1
"441",3,1940,0.59,0,53,1937,1,4,5,2,1
"442",4,-283,0.74,3,17,970,0,0,10,1,3
"443",5,-890,0.58,4,30,1169,0,0,6,0,3
"444",6,-696,0.42,2,16,864,0,0,5,1,2
"445",1,-116,0.27,3,37,1541,0,0,7,2,3
"446",2,3524,0.51,0,60,3703,1,1,11,2,5
"447",3,-694,0.5,2,25,438,0,0,7,2,0
"448",4,-17,0.26,1,11,0,0,0,3,0,1
"449",5,-452,0.22,5,54,1519,1,2,16,1,2
"450",6,-791,0.25,4,44,1866,0,1,9,1,3
"451",1,-16,0.96,3,47,0,1,1,18,2,0
"452",2,-174,0.21,5,53,2107,0,3,11,1,2
"453",3,-120,0.46,1,8,0,0,0,5,0,3
"454",4,-439,0.03,4,51,1870,0,2,0,0,0
"455",5,-25,0.83,2,21,472,0,0,7,1,3
"456",6,3302,0.26,0,53,1462,1,2,1,1,2
"457",1,2279,0.42,0,84,3164,1,2,9,1,2
"458",2,-293,0.22,2,23,1667,0,1,13,3,3
"459",3,-806,0.7,5,85,0,1,8,23,4,1
"460",4,-272,0.87,1,5,0,0,0,4,0,4
"461",5,-196,0.27,3,34,964,0,0,5,2,2
"462",6,-18,0.67,4,29,2185,1,1,16,0,3
"463",1,2361,0.23,0,69,2712,1,2,10,2,2
"464",2,-916,0.55,5,73,3452,0,1,22,2,3
"465",3,-781,0.06,4,50,0,0,0,0,0,0
"466",4,-41,0.91,3,35,1551,1,9,13,1,3
"467",5,-29,0.69,1,11,0,0,0,9,1,3
"468",6,-1161,0.44,2,11,0,1,1,7,1,2
"469",1,-244,0.57,3,46,2960,0,2,14,1,1
"470",2,-228,0.72,1,13,0,0,0,7,0,0
"471",3,-568,0.88,2,13,0,0,1,5,1,4
"472",4,404,0.73,0,88,2268,1,3,12,2,1
"473",5,-816,0.05,4,59,1380,0,2,1,0,0
"474",6,-509,0.79,5,96,2824,1,3,23,3,2
"475",1,-44,0.18,4,34,2906,0,0,11,1,2
"476",2,-570,0.33,1,8,0,0,0,6,1,4
"477",3,-34,0.27,3,20,1126,1,1,6,2,1
"478",4,-440,0.88,2,13,0,1,0,8,1,3
"479",5,-143,0.77,5,43,1807,0,1,14,2,2
